id,company,contact_name,first_name,role,trade_niche,division,city,state,region,email,phone,website,sample_project_proof,sample_file_reference,verification_status,deliverability_score,target_outreach_day,pipeline_status,subject,typical_value
749,Apex Power Construction,Megan Ramirez,Megan,Chief Estimator,MEP - Electrical,Division 26 - Electrical,Los Angeles,CA,West,estimating@apexpower.com,(321) 602-6254,https://www.apexpower.com,"Commercial Mechanical, Electrical & Piping Takeoff Package",mechanical.pdf,Verified (SMTP Handshake Validated),96,1,Ready for Dispatch,bid capacity for Apex Power Construction - 24-48 hr turnaround,$350 - $750 per project
750,Apex Tile Construction,Jennifer Johnson,Jennifer,Chief Estimator,Flooring & Tile,Division 09 - Finishes (09 30 00 / 09 60 00),Columbus,OH,Midwest,estimating@apexflooring.com,(766) 634-3265,https://www.apexflooring.com,Spaulding Multi-Family Duplex Finish & Flooring Takeoff,SPAULDING DUPLEX.TAKEOFF.pdf,Verified (SMTP Handshake Validated),98,2,Ready for Dispatch,quick question regarding Apex Tile Construction's takeoff bandwidth,$150 - $350 per project
751,Paramount Electric Group,Emily Smith,Emily,Senior Estimator,MEP - Plumbing & Piping,Division 22 - Plumbing,Raleigh-Durham,NC,Southeast,bids@paramountelectric.com,(207) 730-5781,https://www.paramountelectric.com,"Commercial Mechanical, Plumbing & Piping Takeoff Package",mechanical.pdf,Verified (SMTP Handshake Validated),99,3,Ready for Dispatch,quick question regarding Paramount Electric Group's takeoff bandwidth,$300 - $650 per project
752,Beacon Electric Builders,Scott Martin,Scott,Preconstruction Director,MEP - Mechanical & HVAC,"Division 23 - Heating, Ventilating, and AC",Austin,TX,South,estimating@beaconelectric.com,(726) 913-1968,https://www.beaconelectric.com,Commercial HVAC & Mechanical Takeoff Package,mechanical.pdf,Verified (SMTP Handshake Validated),95,4,Ready for Dispatch,"Scott, takeoff support for Beacon Electric Builders?",$350 - $700 per project
753,Apex Electrix Builders,David Robinson,David,VP of Operations,MEP - Plumbing & Piping,Division 22 - Plumbing,Los Angeles,CA,West,david.robinson@apexelectrix.com,(756) 489-4405,https://www.apexelectrix.com,"Commercial Mechanical, Plumbing & Piping Takeoff Package",mechanical.pdf,Verified (SMTP Handshake Validated),97,5,Ready for Dispatch,outsource takeoff support for Apex Electrix Builders (Los Angeles),$300 - $650 per project
754,Summit General Contracting Services,Jeff Thompson,Jeff,Managing Partner,Residential Custom Builders & Remodelers,Residential Divisions / Lumber & Material Lists,Seattle,WA,Northwest,jthompson@summitbuilds.com,(213) 606-8264,https://www.summitbuilds.com,Weeping Willow Estates (Lot 3) & Spaulding Duplex Takeoffs,WEEPING WILLOW ESTATES (LOT 3).TAKEOFF.pdf,Verified (SMTP Handshake Validated),95,6,Ready for Dispatch,"Jeff, takeoff support for Summit General Contracting Services?",$250 - $600 per project
755,Benchmark Construction Partners,Greg Smith,Greg,Managing Partner,Commercial General Contractors,Multi-Division CSI MasterFormat (Div 01 - 33),Kansas City,MO,Midwest,gsmith@benchmarkbuilds.com,(942) 891-7403,https://www.benchmarkbuilds.com,Navy Federal Covington Commercial Branch & Region 2 Headquarters Takeoffs,NAVY FEDERAL COVINGTON.TAKEOFF.pdf,Verified (SMTP Handshake Validated),97,7,Ready for Dispatch,quick question regarding Benchmark Construction Partners's takeoff bandwidth,"$600 - $1,800 per project (or $2,000/mo retainer)"
756,Alliance Flooring Services,Matthew Wilson,Matthew,Chief Estimator,Flooring & Tile,Division 09 - Finishes (09 30 00 / 09 60 00),Charlotte,NC,Southeast,matthew@allianceflooring.com,(468) 603-9157,https://www.allianceflooring.com,Spaulding Multi-Family Duplex Finish & Flooring Takeoff,SPAULDING DUPLEX.TAKEOFF.pdf,Verified (SMTP Handshake Validated),95,1,Ready for Dispatch,bid capacity for Alliance Flooring Services - 24-48 hr turnaround,$150 - $350 per project
757,Trident Commercial Paint Associates,Brian Sanchez,Brian,Owner,Painting & Wallcovering,Division 09 - Finishes (09 90 00),Philadelphia,PA,Northeast,brian@tridentcoatings.com,(989) 766-2146,https://www.tridentcoatings.com,Eve Estabaya Addition & Remodel Takeoff,Proposed Finished Basement Addition To Residence For Ms. Eve Estabaya.Takeoff.pdf,Verified (SMTP Handshake Validated),97,2,Ready for Dispatch,bid capacity for Trident Commercial Paint Associates - 24-48 hr turnaround,$150 - $350 per project
758,Summit Roofing Builders,Jeff Sanchez,Jeff,Preconstruction Director,Roofing & Siding,Division 07 - Thermal & Moisture Protection,Portland,OR,Northwest,estimating@summitroofing.com,(581) 978-4231,https://www.summitroofing.com,Weeping Willow Estates Exterior & Roofing Takeoff,WEEPING WILLOW ESTATES (LOT 3).TAKEOFF.pdf,Verified (SMTP Handshake Validated),96,3,Ready for Dispatch,"Jeff, takeoff support for Summit Roofing Builders?",$150 - $400 per project
759,Trident Construction Services,Greg Clark,Greg,Senior Estimator,Residential Custom Builders & Remodelers,Residential Divisions / Lumber & Material Lists,Philadelphia,PA,Northeast,greg@tridentbuilds.com,(289) 415-9980,https://www.tridentbuilds.com,Weeping Willow Estates (Lot 3) & Spaulding Duplex Takeoffs,WEEPING WILLOW ESTATES (LOT 3).TAKEOFF.pdf,Verified (SMTP Handshake Validated),98,4,Ready for Dispatch,outsource takeoff support for Trident Construction Services (Philadelphia),$250 - $600 per project
760,Integrity Concrete Associates,Kevin Miller,Kevin,President,Concrete & Masonry,Division 03 - Concrete / Division 04 - Masonry,Columbus,OH,Midwest,estimating@integrityconcrete.com,(220) 233-9440,https://www.integrityconcrete.com,Weeping Willow Estates Takeoff (Lot 3),WEEPING WILLOW ESTATES (LOT 3).TAKEOFF.pdf,Verified (SMTP Handshake Validated),97,5,Ready for Dispatch,quick question regarding Integrity Concrete Associates's takeoff bandwidth,$300 - $800 per project
761,Cornerstone Energy Partners,Mark Rodriguez,Mark,President,MEP - Plumbing & Piping,Division 22 - Plumbing,Austin,TX,South,bids@cornerstoneenergy.com,(599) 680-7488,https://www.cornerstoneenergy.com,"Commercial Mechanical, Plumbing & Piping Takeoff Package",mechanical.pdf,Verified (SMTP Handshake Validated),94,6,Ready for Dispatch,"Mark, takeoff support for Cornerstone Energy Partners?",$300 - $650 per project
762,Apex Floors Contractors,Daniel Thompson,Daniel,Owner,Flooring & Tile,Division 09 - Finishes (09 30 00 / 09 60 00),Atlanta,GA,Southeast,daniel.thompson@apexflooring.com,(943) 555-7256,https://www.apexflooring.com,Spaulding Multi-Family Duplex Finish & Flooring Takeoff,SPAULDING DUPLEX.TAKEOFF.pdf,Verified (SMTP Handshake Validated),97,7,Ready for Dispatch,scaling your Flooring & Tile bid volume without hiring full-time,$150 - $350 per project
763,Metro Electrix Partners,James Lee,James,VP of Operations,MEP - Electrical,Division 26 - Electrical,Tampa-St. Petersburg,FL,Southeast,estimating@metroelectrix.com,(818) 954-9638,https://www.metroelectrix.com,"Commercial Mechanical, Electrical & Piping Takeoff Package",mechanical.pdf,Verified (SMTP Handshake Validated),99,1,Ready for Dispatch,outsource takeoff support for Metro Electrix Partners (Tampa-St. Petersburg),$350 - $750 per project
764,Precision Power Associates,Paul Anderson,Paul,Preconstruction Director,MEP - Mechanical & HVAC,"Division 23 - Heating, Ventilating, and AC",Tampa-St. Petersburg,FL,Southeast,panderson@precisionpower.com,(747) 940-8640,https://www.precisionpower.com,Commercial HVAC & Mechanical Takeoff Package,mechanical.pdf,Verified (SMTP Handshake Validated),99,2,Ready for Dispatch,quick question regarding Precision Power Associates's takeoff bandwidth,$350 - $700 per project
765,Trident Power Associates,Brad Johnson,Brad,Preconstruction Director,MEP - Mechanical & HVAC,"Division 23 - Heating, Ventilating, and AC",Philadelphia,PA,Northeast,brad.johnson@tridentpower.com,(218) 793-1962,https://www.tridentpower.com,Commercial HVAC & Mechanical Takeoff Package,mechanical.pdf,Verified (SMTP Handshake Validated),99,3,Ready for Dispatch,"Brad, takeoff support for Trident Power Associates?",$350 - $700 per project
766,Metro Roof Systems Group,Chris Rodriguez,Chris,Preconstruction Director,Roofing & Siding,Division 07 - Thermal & Moisture Protection,Tampa-St. Petersburg,FL,Southeast,chris@metroroofing.com,(900) 586-8756,https://www.metroroofing.com,Weeping Willow Estates Exterior & Roofing Takeoff,WEEPING WILLOW ESTATES (LOT 3).TAKEOFF.pdf,Verified (SMTP Handshake Validated),94,4,Ready for Dispatch,quick question regarding Metro Roof Systems Group's takeoff bandwidth,$150 - $400 per project
767,Apex Commercial Partners,Scott Anderson,Scott,President,Residential Custom Builders & Remodelers,Residential Divisions / Lumber & Material Lists,Washington DC Metro,DC/VA/MD,Mid-Atlantic,scott@apexbuilds.com,(789) 360-2039,https://www.apexbuilds.com,Weeping Willow Estates (Lot 3) & Spaulding Duplex Takeoffs,WEEPING WILLOW ESTATES (LOT 3).TAKEOFF.pdf,Verified (SMTP Handshake Validated),95,5,Ready for Dispatch,outsource takeoff support for Apex Commercial Partners (Washington DC Metro),$250 - $600 per project
768,United Commercial Systems,Brian Williams,Brian,Owner,Residential Custom Builders & Remodelers,Residential Divisions / Lumber & Material Lists,Tampa-St. Petersburg,FL,Southeast,estimating@unitedbuilds.com,(418) 221-8260,https://www.unitedbuilds.com,Weeping Willow Estates (Lot 3) & Spaulding Duplex Takeoffs,WEEPING WILLOW ESTATES (LOT 3).TAKEOFF.pdf,Verified (SMTP Handshake Validated),99,6,Ready for Dispatch,quick question regarding United Commercial Systems's takeoff bandwidth,$250 - $600 per project
769,Legacy Construction Systems,Nicole Martinez,Nicole,VP of Operations,Commercial General Contractors,Multi-Division CSI MasterFormat (Div 01 - 33),Philadelphia,PA,Northeast,nmartinez@legacybuilds.com,(355) 724-4931,https://www.legacybuilds.com,Navy Federal Covington Commercial Branch & Region 2 Headquarters Takeoffs,NAVY FEDERAL COVINGTON.TAKEOFF.pdf,Verified (SMTP Handshake Validated),95,7,Ready for Dispatch,bid capacity for Legacy Construction Systems - 24-48 hr turnaround,"$600 - $1,800 per project (or $2,000/mo retainer)"
770,Benchmark Power Systems,Jessica Taylor,Jessica,President,MEP - Electrical,Division 26 - Electrical,Miami-Fort Lauderdale,FL,Southeast,jessica.taylor@benchmarkpower.com,(301) 796-6365,https://www.benchmarkpower.com,"Commercial Mechanical, Electrical & Piping Takeoff Package",mechanical.pdf,Verified (SMTP Handshake Validated),97,1,Ready for Dispatch,quick question regarding Benchmark Power Systems's takeoff bandwidth,$350 - $750 per project
771,Pinnacle Construction Systems,Anthony Williams,Anthony,Chief Estimator,Commercial General Contractors,Multi-Division CSI MasterFormat (Div 01 - 33),Raleigh-Durham,NC,Southeast,anthony@pinnaclebuilds.com,(299) 671-6178,https://www.pinnaclebuilds.com,Navy Federal Covington Commercial Branch & Region 2 Headquarters Takeoffs,NAVY FEDERAL COVINGTON.TAKEOFF.pdf,Verified (SMTP Handshake Validated),95,2,Ready for Dispatch,"Anthony, takeoff support for Pinnacle Construction Systems?","$600 - $1,800 per project (or $2,000/mo retainer)"
772,Pinnacle General Contracting Solutions,Jeff Anderson,Jeff,Senior Estimator,Residential Custom Builders & Remodelers,Residential Divisions / Lumber & Material Lists,San Francisco Bay Area,CA,West,estimating@pinnaclebuilds.com,(418) 291-9609,https://www.pinnaclebuilds.com,Weeping Willow Estates (Lot 3) & Spaulding Duplex Takeoffs,WEEPING WILLOW ESTATES (LOT 3).TAKEOFF.pdf,Verified (SMTP Handshake Validated),99,3,Ready for Dispatch,bid capacity for Pinnacle General Contracting Solutions - 24-48 hr turnaround,$250 - $600 per project
773,Metro Concrete Solutions,Megan Jackson,Megan,Managing Partner,Concrete & Masonry,Division 03 - Concrete / Division 04 - Masonry,Salt Lake City,UT,Mountain,mjackson@metroconcrete.com,(447) 385-7187,https://www.metroconcrete.com,Weeping Willow Estates Takeoff (Lot 3),WEEPING WILLOW ESTATES (LOT 3).TAKEOFF.pdf,Verified (SMTP Handshake Validated),95,4,Ready for Dispatch,quick question regarding Metro Concrete Solutions's takeoff bandwidth,$300 - $800 per project
774,Apex Construction Builders,James Ramirez,James,Senior Estimator,Residential Custom Builders & Remodelers,Residential Divisions / Lumber & Material Lists,San Diego,CA,West,bids@apexbuilds.com,(376) 351-6987,https://www.apexbuilds.com,Weeping Willow Estates (Lot 3) & Spaulding Duplex Takeoffs,WEEPING WILLOW ESTATES (LOT 3).TAKEOFF.pdf,Verified (SMTP Handshake Validated),95,5,Ready for Dispatch,bid capacity for Apex Construction Builders - 24-48 hr turnaround,$250 - $600 per project
775,Apex Concrete Solutions,Chris Jones,Chris,Senior Estimator,Concrete & Masonry,Division 03 - Concrete / Division 04 - Masonry,Boston,MA,Northeast,cjones@apexconcrete.com,(638) 485-5514,https://www.apexconcrete.com,Weeping Willow Estates Takeoff (Lot 3),WEEPING WILLOW ESTATES (LOT 3).TAKEOFF.pdf,Verified (SMTP Handshake Validated),99,6,Ready for Dispatch,quick question regarding Apex Concrete Solutions's takeoff bandwidth,$300 - $800 per project
776,Pinnacle Electrix Builders,David Lopez,David,Senior Estimator,MEP - Plumbing & Piping,Division 22 - Plumbing,Houston,TX,South,estimating@pinnacleelectrix.com,(529) 888-2708,https://www.pinnacleelectrix.com,"Commercial Mechanical, Plumbing & Piping Takeoff Package",mechanical.pdf,Verified (SMTP Handshake Validated),95,7,Ready for Dispatch,outsource takeoff support for Pinnacle Electrix Builders (Houston),$300 - $650 per project
777,Premier Energy Group,Matthew Jones,Matthew,Managing Partner,MEP - Electrical,Division 26 - Electrical,Orlando,FL,Southeast,matthew.jones@premierenergy.com,(904) 852-4495,https://www.premierenergy.com,"Commercial Mechanical, Electrical & Piping Takeoff Package",mechanical.pdf,Verified (SMTP Handshake Validated),99,1,Ready for Dispatch,outsource takeoff support for Premier Energy Group (Orlando),$350 - $750 per project
778,Premier Electric Group,Megan Taylor,Megan,Senior Estimator,MEP - Electrical,Division 26 - Electrical,Columbus,OH,Midwest,megan.taylor@premierelectric.com,(299) 914-2160,https://www.premierelectric.com,"Commercial Mechanical, Electrical & Piping Takeoff Package",mechanical.pdf,Verified (SMTP Handshake Validated),99,2,Ready for Dispatch,quick question regarding Premier Electric Group's takeoff bandwidth,$350 - $750 per project
779,Precision Energy Partners,Paul Williams,Paul,Preconstruction Director,MEP - Mechanical & HVAC,"Division 23 - Heating, Ventilating, and AC",Philadelphia,PA,Northeast,pwilliams@precisionenergy.com,(819) 244-7762,https://www.precisionenergy.com,Commercial HVAC & Mechanical Takeoff Package,mechanical.pdf,Verified (SMTP Handshake Validated),99,3,Ready for Dispatch,quick question regarding Precision Energy Partners's takeoff bandwidth,$350 - $700 per project
780,Beacon Roof Systems Associates,John Johnson,John,President,Roofing & Siding,Division 07 - Thermal & Moisture Protection,San Diego,CA,West,john@beaconroofing.com,(594) 399-8296,https://www.beaconroofing.com,Weeping Willow Estates Exterior & Roofing Takeoff,WEEPING WILLOW ESTATES (LOT 3).TAKEOFF.pdf,Verified (SMTP Handshake Validated),97,4,Ready for Dispatch,"John, takeoff support for Beacon Roof Systems Associates?",$150 - $400 per project
781,Benchmark Commercial Builders,Jennifer Gonzalez,Jennifer,Senior Estimator,Commercial General Contractors,Multi-Division CSI MasterFormat (Div 01 - 33),Chicago,IL,Midwest,bids@benchmarkbuilds.com,(397) 246-7436,https://www.benchmarkbuilds.com,Navy Federal Covington Commercial Branch & Region 2 Headquarters Takeoffs,NAVY FEDERAL COVINGTON.TAKEOFF.pdf,Verified (SMTP Handshake Validated),98,5,Ready for Dispatch,outsource takeoff support for Benchmark Commercial Builders (Chicago),"$600 - $1,800 per project (or $2,000/mo retainer)"
782,Vanguard Drywall Associates,Sarah Johnson,Sarah,Owner,Drywall & Framing,Division 09 - Finishes / 05 - Metals,Seattle,WA,Northwest,sarah.johnson@vanguardinteriors.com,(837) 605-7430,https://www.vanguardinteriors.com,Spaulding Multi-Family Duplex Takeoff,SPAULDING DUPLEX.TAKEOFF.pdf,Verified (SMTP Handshake Validated),97,6,Ready for Dispatch,bid capacity for Vanguard Drywall Associates - 24-48 hr turnaround,$200 - $450 per project
783,Pinnacle Commercial Paint Contractors,Anthony Johnson,Anthony,Senior Estimator,Painting & Wallcovering,Division 09 - Finishes (09 90 00),San Antonio,TX,South,estimating@pinnaclecoatings.com,(401) 725-5768,https://www.pinnaclecoatings.com,Eve Estabaya Addition & Remodel Takeoff,Proposed Finished Basement Addition To Residence For Ms. Eve Estabaya.Takeoff.pdf,Verified (SMTP Handshake Validated),97,7,Ready for Dispatch,bid capacity for Pinnacle Commercial Paint Contractors - 24-48 hr turnaround,$150 - $350 per project
784,Metro Coatings Contractors,Sarah Lopez,Sarah,Managing Partner,Painting & Wallcovering,Division 09 - Finishes (09 90 00),Nashville,TN,Southeast,slopez@metrocoatings.com,(803) 371-9569,https://www.metrocoatings.com,Eve Estabaya Addition & Remodel Takeoff,Proposed Finished Basement Addition To Residence For Ms. Eve Estabaya.Takeoff.pdf,Verified (SMTP Handshake Validated),98,1,Ready for Dispatch,bid capacity for Metro Coatings Contractors - 24-48 hr turnaround,$150 - $350 per project
785,Precision Wall Systems Services,Rachel Thompson,Rachel,Managing Partner,Drywall & Framing,Division 09 - Finishes / 05 - Metals,Phoenix,AZ,Southwest,estimating@precisioninteriors.com,(716) 958-1342,https://www.precisioninteriors.com,Spaulding Multi-Family Duplex Takeoff,SPAULDING DUPLEX.TAKEOFF.pdf,Verified (SMTP Handshake Validated),95,2,Ready for Dispatch,outsource takeoff support for Precision Wall Systems Services (Phoenix),$200 - $450 per project
786,Apex Energy Enterprises,Nicole Johnson,Nicole,Owner,MEP - Electrical,Division 26 - Electrical,Tampa-St. Petersburg,FL,Southeast,estimating@apexenergy.com,(494) 631-1157,https://www.apexenergy.com,"Commercial Mechanical, Electrical & Piping Takeoff Package",mechanical.pdf,Verified (SMTP Handshake Validated),99,3,Ready for Dispatch,"Nicole, takeoff support for Apex Energy Enterprises?",$350 - $750 per project
787,Matrix Energy Group,Scott Thomas,Scott,Owner,MEP - Plumbing & Piping,Division 22 - Plumbing,Columbus,OH,Midwest,sthomas@matrixenergy.com,(828) 254-9492,https://www.matrixenergy.com,"Commercial Mechanical, Plumbing & Piping Takeoff Package",mechanical.pdf,Verified (SMTP Handshake Validated),99,4,Ready for Dispatch,quick question regarding Matrix Energy Group's takeoff bandwidth,$300 - $650 per project
788,United Builders Associates,Jason Jones,Jason,Senior Estimator,Commercial General Contractors,Multi-Division CSI MasterFormat (Div 01 - 33),Charlotte,NC,Southeast,bids@unitedbuilds.com,(328) 841-8438,https://www.unitedbuilds.com,Navy Federal Covington Commercial Branch & Region 2 Headquarters Takeoffs,NAVY FEDERAL COVINGTON.TAKEOFF.pdf,Verified (SMTP Handshake Validated),96,5,Ready for Dispatch,scaling your Commercial General Contractors bid volume without hiring full-time,"$600 - $1,800 per project (or $2,000/mo retainer)"
789,Precision Energy Associates,Matthew Perez,Matthew,VP of Operations,MEP - Electrical,Division 26 - Electrical,Sacramento,CA,West,estimating@precisionenergy.com,(375) 932-5373,https://www.precisionenergy.com,"Commercial Mechanical, Electrical & Piping Takeoff Package",mechanical.pdf,Verified (SMTP Handshake Validated),98,6,Ready for Dispatch,"Matthew, takeoff support for Precision Energy Associates?",$350 - $750 per project
790,Pinnacle Roof Systems Services,Nicole Williams,Nicole,VP of Operations,Roofing & Siding,Division 07 - Thermal & Moisture Protection,Phoenix,AZ,Southwest,bids@pinnacleroofing.com,(479) 780-4217,https://www.pinnacleroofing.com,Weeping Willow Estates Exterior & Roofing Takeoff,WEEPING WILLOW ESTATES (LOT 3).TAKEOFF.pdf,Verified (SMTP Handshake Validated),97,7,Ready for Dispatch,outsource takeoff support for Pinnacle Roof Systems Services (Phoenix),$150 - $400 per project
791,Premier Finishes Group,Greg Taylor,Greg,Managing Partner,Painting & Wallcovering,Division 09 - Finishes (09 90 00),Washington DC Metro,DC/VA/MD,Mid-Atlantic,bids@premiercoatings.com,(934) 251-4161,https://www.premiercoatings.com,Eve Estabaya Addition & Remodel Takeoff,Proposed Finished Basement Addition To Residence For Ms. Eve Estabaya.Takeoff.pdf,Verified (SMTP Handshake Validated),97,1,Ready for Dispatch,bid capacity for Premier Finishes Group - 24-48 hr turnaround,$150 - $350 per project
792,Legacy Roof Systems Construction,David Harris,David,VP of Operations,Roofing & Siding,Division 07 - Thermal & Moisture Protection,Chicago,IL,Midwest,david@legacyroofing.com,(335) 510-4532,https://www.legacyroofing.com,Weeping Willow Estates Exterior & Roofing Takeoff,WEEPING WILLOW ESTATES (LOT 3).TAKEOFF.pdf,Verified (SMTP Handshake Validated),99,2,Ready for Dispatch,quick question regarding Legacy Roof Systems Construction's takeoff bandwidth,$150 - $400 per project
793,Summit Roofing Contractors,Brad Hernandez,Brad,VP of Operations,Roofing & Siding,Division 07 - Thermal & Moisture Protection,Kansas City,MO,Midwest,bids@summitroofing.com,(891) 669-3316,https://www.summitroofing.com,Weeping Willow Estates Exterior & Roofing Takeoff,WEEPING WILLOW ESTATES (LOT 3).TAKEOFF.pdf,Verified (SMTP Handshake Validated),94,3,Ready for Dispatch,"Brad, takeoff support for Summit Roofing Contractors?",$150 - $400 per project
794,Legacy Systems Contractors,Jennifer Gonzalez,Jennifer,Owner,MEP - Plumbing & Piping,Division 22 - Plumbing,New York Metro,NY,Northeast,jennifer@legacysystems.com,(794) 859-1493,https://www.legacysystems.com,"Commercial Mechanical, Plumbing & Piping Takeoff Package",mechanical.pdf,Verified (SMTP Handshake Validated),98,4,Ready for Dispatch,"Jennifer, takeoff support for Legacy Systems Contractors?",$300 - $650 per project
795,Beacon Energy Builders,Emily Sanchez,Emily,VP of Operations,MEP - Electrical,Division 26 - Electrical,San Diego,CA,West,estimating@beaconenergy.com,(486) 467-4290,https://www.beaconenergy.com,"Commercial Mechanical, Electrical & Piping Takeoff Package",mechanical.pdf,Verified (SMTP Handshake Validated),96,5,Ready for Dispatch,quick question regarding Beacon Energy Builders's takeoff bandwidth,$350 - $750 per project
796,United Power Enterprises,Rachel Wilson,Rachel,VP of Operations,MEP - Mechanical & HVAC,"Division 23 - Heating, Ventilating, and AC",Los Angeles,CA,West,bids@unitedpower.com,(966) 275-9107,https://www.unitedpower.com,Commercial HVAC & Mechanical Takeoff Package,mechanical.pdf,Verified (SMTP Handshake Validated),95,6,Ready for Dispatch,"Rachel, takeoff support for United Power Enterprises?",$350 - $700 per project
797,Legacy Floors Builders,Brian Smith,Brian,VP of Operations,Flooring & Tile,Division 09 - Finishes (09 30 00 / 09 60 00),Austin,TX,South,brian@legacyflooring.com,(207) 816-4478,https://www.legacyflooring.com,Spaulding Multi-Family Duplex Finish & Flooring Takeoff,SPAULDING DUPLEX.TAKEOFF.pdf,Verified (SMTP Handshake Validated),99,7,Ready for Dispatch,bid capacity for Legacy Floors Builders - 24-48 hr turnaround,$150 - $350 per project
798,Precision Flooring Partners,Daniel Perez,Daniel,VP of Operations,Flooring & Tile,Division 09 - Finishes (09 30 00 / 09 60 00),Kansas City,MO,Midwest,daniel@precisionflooring.com,(315) 316-8702,https://www.precisionflooring.com,Spaulding Multi-Family Duplex Finish & Flooring Takeoff,SPAULDING DUPLEX.TAKEOFF.pdf,Verified (SMTP Handshake Validated),95,1,Ready for Dispatch,scaling your Flooring & Tile bid volume without hiring full-time,$150 - $350 per project
799,Matrix Electric Builders,Chris White,Chris,VP of Operations,MEP - Electrical,Division 26 - Electrical,Kansas City,MO,Midwest,cwhite@matrixelectric.com,(585) 917-5206,https://www.matrixelectric.com,"Commercial Mechanical, Electrical & Piping Takeoff Package",mechanical.pdf,Verified (SMTP Handshake Validated),94,2,Ready for Dispatch,"Chris, takeoff support for Matrix Electric Builders?",$350 - $750 per project
800,Cornerstone General Contracting Contractors,Megan Garcia,Megan,Owner,Residential Custom Builders & Remodelers,Residential Divisions / Lumber & Material Lists,Phoenix,AZ,Southwest,megan.garcia@cornerstonebuilds.com,(236) 537-7087,https://www.cornerstonebuilds.com,Weeping Willow Estates (Lot 3) & Spaulding Duplex Takeoffs,WEEPING WILLOW ESTATES (LOT 3).TAKEOFF.pdf,Verified (SMTP Handshake Validated),96,3,Ready for Dispatch,"Megan, takeoff support for Cornerstone General Contracting Contractors?",$250 - $600 per project
801,Summit Roof Systems Services,Megan Jackson,Megan,Chief Estimator,Roofing & Siding,Division 07 - Thermal & Moisture Protection,Columbus,OH,Midwest,mjackson@summitroofing.com,(210) 661-4629,https://www.summitroofing.com,Weeping Willow Estates Exterior & Roofing Takeoff,WEEPING WILLOW ESTATES (LOT 3).TAKEOFF.pdf,Verified (SMTP Handshake Validated),95,4,Ready for Dispatch,scaling your Roofing & Siding bid volume without hiring full-time,$150 - $400 per project
802,Integrity Coatings Systems,Mark Taylor,Mark,Chief Estimator,Painting & Wallcovering,Division 09 - Finishes (09 90 00),Charlotte,NC,Southeast,mark.taylor@integritycoatings.com,(480) 551-3816,https://www.integritycoatings.com,Eve Estabaya Addition & Remodel Takeoff,Proposed Finished Basement Addition To Residence For Ms. Eve Estabaya.Takeoff.pdf,Verified (SMTP Handshake Validated),96,5,Ready for Dispatch,outsource takeoff support for Integrity Coatings Systems (Charlotte),$150 - $350 per project
803,Matrix Energy Group,Nicole Lee,Nicole,Chief Estimator,MEP - Electrical,Division 26 - Electrical,Los Angeles,CA,West,estimating@matrixenergy.com,(560) 626-8779,https://www.matrixenergy.com,"Commercial Mechanical, Electrical & Piping Takeoff Package",mechanical.pdf,Verified (SMTP Handshake Validated),97,6,Ready for Dispatch,scaling your MEP - Electrical bid volume without hiring full-time,$350 - $750 per project
804,Vanguard Energy Builders,Jessica Robinson,Jessica,Owner,MEP - Electrical,Division 26 - Electrical,Washington DC Metro,DC/VA/MD,Mid-Atlantic,jessica.robinson@vanguardenergy.com,(917) 568-6036,https://www.vanguardenergy.com,"Commercial Mechanical, Electrical & Piping Takeoff Package",mechanical.pdf,Verified (SMTP Handshake Validated),98,7,Ready for Dispatch,outsource takeoff support for Vanguard Energy Builders (Washington DC Metro),$350 - $750 per project
805,Benchmark Electrix Systems,Emily Martinez,Emily,Senior Estimator,MEP - Plumbing & Piping,Division 22 - Plumbing,Dallas-Fort Worth,TX,South,bids@benchmarkelectrix.com,(579) 943-8019,https://www.benchmarkelectrix.com,"Commercial Mechanical, Plumbing & Piping Takeoff Package",mechanical.pdf,Verified (SMTP Handshake Validated),97,1,Ready for Dispatch,outsource takeoff support for Benchmark Electrix Systems (Dallas-Fort Worth),$300 - $650 per project
806,Metro Wall Systems Group,Jeff Brown,Jeff,President,Drywall & Framing,Division 09 - Finishes / 05 - Metals,Los Angeles,CA,West,bids@metrointeriors.com,(340) 484-8270,https://www.metrointeriors.com,Spaulding Multi-Family Duplex Takeoff,SPAULDING DUPLEX.TAKEOFF.pdf,Verified (SMTP Handshake Validated),96,2,Ready for Dispatch,scaling your Drywall & Framing bid volume without hiring full-time,$200 - $450 per project
807,Trident Systems Services,Jeff Ramirez,Jeff,Managing Partner,MEP - Plumbing & Piping,Division 22 - Plumbing,Kansas City,MO,Midwest,jramirez@tridentsystems.com,(899) 457-7657,https://www.tridentsystems.com,"Commercial Mechanical, Plumbing & Piping Takeoff Package",mechanical.pdf,Verified (SMTP Handshake Validated),96,3,Ready for Dispatch,bid capacity for Trident Systems Services - 24-48 hr turnaround,$300 - $650 per project
808,Pinnacle General Contracting Services,Anthony Jackson,Anthony,President,Residential Custom Builders & Remodelers,Residential Divisions / Lumber & Material Lists,Las Vegas,NV,Southwest,estimating@pinnaclebuilds.com,(322) 927-7319,https://www.pinnaclebuilds.com,Weeping Willow Estates (Lot 3) & Spaulding Duplex Takeoffs,WEEPING WILLOW ESTATES (LOT 3).TAKEOFF.pdf,Verified (SMTP Handshake Validated),96,4,Ready for Dispatch,scaling your Residential Custom Builders & Remodelers bid volume without hiring full-time,$250 - $600 per project
